angle,velocity,label
0.502657529,33.48179662,1
0.502657529,34.70069741,1
0.502657529,35.90999984,1
7.570064168,35.65983383,1
7.570064168,33.27737778,1
7.570064168,34.72795721,1
7.570064168,33.45893413,1
7.570064168,33.66798909,1
7.570064168,34.4360219,1
7.570064168,34.18045742,1
7.570064168,34.92956001,1
7.570064168,35.35318115,1
7.570064168,34.30043391,1
7.570064168,35.40840525,1
7.570064168,33.98310307,1
7.570064168,35.83752982,1
7.570064168,35.15933527,1
88.87316162,35.10801599,1
88.87316162,35.68743727,1
88.87316162,35.42735251,1
88.87316162,34.60443148,1
88.87316162,35.91561586,1
88.87316162,34.29260416,1
88.87316162,32.78108427,1
88.87316162,33.85312792,1
88.87316162,34.40685476,1
88.87316162,33.51040592,1
88.87316162,33.39378942,1
88.87316162,34.10097209,1
88.87316162,33.75571376,1
88.87316162,35.21878948,1
88.87316162,33.1940147,1
88.87316162,32.92097318,1
88.87316162,34.96427313,1
-23.09832883,35.69088454,1
-23.09832883,35.43268205,1
-23.09832883,34.68663458,1
-23.09832883,35.24079594,1
-23.09832883,34.88096995,1
-23.09832883,35.91835263,1
-23.09832883,35.13198281,1
63.86535884,34.83704635,1
63.86535884,34.59018902,1
63.86535884,35.30722517,1
63.86535884,33.15342299,1
63.86535884,34.07576426,1
63.86535884,33.54980762,1
63.86535884,35.56209186,1
63.86535884,33.29552825,1
63.86535884,35.92583387,1
63.86535884,34.29201511,1
63.86535884,35.63828754,1
63.86535884,33.96161995,1
63.86535884,34.70341579,1
63.86535884,35.18143458,1
63.86535884,32.86833032,1
63.86535884,33.76394103,1
-75.53341119,33.81091637,1
-75.53341119,33.06506814,1
-75.53341119,33.50579353,1
-75.53341119,32.81653519,1
-75.53341119,33.27482336,1
-75.53341119,35.13450222,1
-75.53341119,35.37916227,1
-75.53341119,35.4479657,1
-75.53341119,34.66556168,1
-75.53341119,34.48246399,1
-75.53341119,34.17262297,1
-75.53341119,34.3317071,1
-75.53341119,35.87807454,1
-75.53341119,35.78620019,1
-75.53341119,34.8691262,1
-75.53341119,33.68448944,1
77.13976277,33.82643697,1
77.13976277,32.95921678,1
77.13976277,34.87617731,1
77.13976277,34.64065683,1
77.13976277,34.08966422,1
77.13976277,33.47900306,1
77.13976277,35.68470041,1
77.13976277,33.36035185,1
77.13976277,33.14511208,1
77.13976277,35.82201792,1
77.13976277,33.62439928,1
77.13976277,35.08089139,1
77.13976277,34.22752313,1
77.13976277,32.66519642,1
77.13976277,35.35300301,1
77.13976277,35.59105631,1
77.13976277,34.50653888,1
44.11200608,33.64402503,1
44.11200608,35.13032701,1
44.11200608,34.40194989,1
44.11200608,33.93980582,1
44.11200608,35.43570504,1
44.11200608,34.73363827,1
44.11200608,35.91428778,1
44.11200608,35.76233286,1
44.11200608,34.85171729,1
44.11200608,34.11187106,1
44.11200608,33.55706622,1
44.11200608,35.27944598,1
44.11200608,34.24554272,1
50.21704931,34.58013193,1
50.21704931,34.72581488,1
50.21704931,35.02130089,1
50.21704931,34.82089456,1
50.21704931,35.5808618,1
50.21704931,33.8491021,1
50.21704931,33.27799997,1
50.21704931,35.35465233,1
50.21704931,33.64681645,1
50.21704931,35.96467087,1
50.21704931,33.49746967,1
50.21704931,34.04424535,1
50.21704931,34.28646005,1
50.21704931,35.68702754,1
-55.24795145,33.08052105,1
-55.24795145,34.26668969,1
-55.24795145,34.00741857,1
-55.24795145,35.88322907,1
-55.24795145,35.08645062,1
-55.24795145,33.8853742,1
-55.24795145,34.68388569,1
-55.24795145,33.24142556,1
-55.24795145,35.75613867,1
