theta,flutter speed
-87.38,32.61272112
-87.37,32.61274895
-87.36,32.61276142
-87.35,32.61278934
-87.34,32.61280191
-87.33,32.61282992
-87.32,32.61284259
-87.31,32.6128707
-87.3,32.61288346
-87.29,32.61289626
-87.28,32.61292452
-87.27,32.61293742
-87.26,32.61296577
-87.25,32.61297876
-87.24,32.61300721
-87.23,32.6130203
-87.22,32.61304884
-87.21,32.61306202
-87.2,32.61309066
-87.19,32.61310394
-87.18,32.61311727
-87.17,32.61314605
-87.16,32.61315947
-87.15,32.61318835
-87.14,32.61320187
-87.13,32.61323083
-87.12,32.61324445
-87.11,32.61327351
-87.1,32.61328723
-87.09,32.61331638
-87.08,32.61333019
-87.07,32.61334405
-87.06,32.61337335
-87.05,32.6133873
-87.04,32.6134167
-87.03,32.61343074
-87.02,32.61346023
-87.01,32.61347437
-87,32.61350396
-86.99,32.6135182
-86.98,32.61354788
-86.97,32.61356221
-86.96,32.61357659
-86.95,32.61360642
-86.94,32.6136209
-86.93,32.61365082
-86.92,32.61366539
-86.91,32.61369541
-86.9,32.61371007
-86.89,32.61374019
-86.88,32.61375495
-86.87,32.61378516
-86.86,32.61380001
-86.85,32.61381492
-86.84,32.61384527
-86.83,32.61386027
-86.82,32.61389072
-86.81,32.61390582
-86.8,32.61393636
-86.79,32.61395155
-86.78,32.61398219
-86.77,32.61399748
-86.76,32.61402821
-86.75,32.6140436
-86.74,32.61405903
-86.73,32.6140899
-86.72,32.61410543
-86.71,32.6141364
-86.7,32.61415203
-86.69,32.6141831
-86.68,32.61419881
-86.67,32.61422998
-86.66,32.61424579
-86.65,32.61427705
-86.64,32.61429296
-86.63,32.61432432
-86.62,32.61434032
-86.61,32.61435638
-86.6,32.61438788
-86.59,32.61440403
-86.58,32.61443562
-86.57,32.61445187
-86.56,32.61448356
-86.55,32.6144999
-86.54,32.61453169
-86.53,32.61454812
-86.52,32.61458001
-86.51,32.61459654
-86.5,32.61461312
-86.49,32.61464514
-86.48,32.61466182
-86.47,32.61469394
-86.46,32.61471071
-86.45,32.61474293
-86.44,32.6147598
-86.43,32.61479212
-86.42,32.61480908
-86.41,32.61484149
-86.4,32.61485855
-86.39,32.61489105
-86.38,32.61490821
-86.37,32.61492541
-86.36,32.61495806
-86.35,32.61497536
